rate_date,currency,rate_to_gbp
2023-02-13,EUR,1.159827
2023-02-13,SGD,1.703267
2023-02-13,AED,4.68407
2023-02-13,CAD,1.723399
2023-02-14,GBP,0.994894
2023-02-14,USD,1.275675
2023-02-14,EUR,1.167313
2023-02-14,SGD,1.699325
2023-02-14,AED,4.65441
2023-02-14,CAD,1.741653
2023-02-15,GBP,1.007368
2023-02-15,USD,1.261577
2023-02-15,EUR,1.181019
2023-02-15,SGD,1.708135
2023-02-15,AED,4.62549
2023-02-15,CAD,1.736861
2023-02-16,GBP,0.998185
2023-02-16,USD,1.27508
2023-02-16,EUR,1.173438
2023-02-16,SGD,1.714477
2023-02-16,AED,4.589089
2023-02-16,CAD,1.730223
2023-02-17,GBP,0.997735
2023-02-17,USD,1.271552
2023-02-17,EUR,1.172475
2023-02-17,SGD,1.706653
2023-02-17,AED,4.637366
2023-02-17,CAD,1.737612
2023-02-18,GBP,0.998431
2023-02-18,USD,1.278902
2023-02-18,EUR,1.180754
2023-02-18,SGD,1.680141
2023-02-18,AED,4.676198
2023-02-18,CAD,1.72627
2023-02-19,GBP,1.002765
2023-02-19,USD,1.264592
2023-02-19,EUR,1.180381
2023-02-19,SGD,1.688426
2023-02-19,AED,4.692515
2023-02-19,CAD,1.733028
2023-02-20,GBP,1.002026
2023-02-20,USD,1.2712
2023-02-20,EUR,1.173038
2023-02-20,SGD,1.68711
2023-02-20,AED,4.653977
2023-02-20,CAD,1.744307
2023-02-21,GBP,0.994834
2023-02-21,USD,1.274745
2023-02-21,EUR,1.166887
2023-02-21,SGD,1.710792
2023-02-21,AED,4.631804
2023-02-21,CAD,1.738297
2023-02-22,GBP,0.990676
2023-02-22,USD,1.273474
2023-02-22,EUR,1.172913
2023-02-22,SGD,1.699114
2023-02-22,AED,4.637301
2023-02-22,CAD,1.738543
2023-02-23,GBP,1.001539
2023-02-23,USD,1.270364
2023-02-23,EUR,1.172751
2023-02-23,SGD,1.700262
2023-02-23,AED,4.644291
2023-02-23,CAD,1.741836
2023-02-24,GBP,0.997192
2023-02-24,USD,1.271525
2023-02-24,EUR,1.174559
2023-02-24,SGD,1.717093
2023-02-24,AED,4.625814
2023-02-24,CAD,1.743707
2023-02-25,GBP,1.011636
2023-02-25,USD,1.26903
2023-02-25,EUR,1.173064
2023-02-25,SGD,1.695139
2023-02-25,AED,4.662459
2023-02-25,CAD,1.725909
2023-02-26,GBP,1.001867
2023-02-26,USD,1.269182
2023-02-26,EUR,1.166148
2023-02-26,SGD,1.710284
2023-02-26,AED,4.667071
2023-02-26,CAD,1.723661
2023-02-27,GBP,1.001306
2023-02-27,USD,1.273033
2023-02-27,EUR,1.167052
2023-02-27,SGD,1.70108
2023-02-27,AED,4.685195
2023-02-27,CAD,1.718964
2023-02-28,GBP,1.009896
2023-02-28,USD,1.259307
2023-02-28,EUR,1.164556
2023-02-28,SGD,1.704793
2023-02-28,AED,4.680507
2023-02-28,CAD,1.737366
2023-03-01,GBP,0.993506
2023-03-01,USD,1.265608
2023-03-01,EUR,1.1751
2023-03-01,SGD,1.698891
2023-03-01,AED,4.658
2023-03-01,CAD,1.723856
2023-03-02,GBP,0.999637
2023-03-02,USD,1.275303
2023-03-02,EUR,1.176491
2023-03-02,SGD,1.705403
2023-03-02,AED,4.683858
2023-03-02,CAD,1.720903
2023-03-03,GBP,0.999686
2023-03-03,USD,1.265707
2023-03-03,EUR,1.183785
2023-03-03,SGD,1.710689
2023-03-03,AED,4.66352
2023-03-03,CAD,1.73052
2023-03-04,GBP,1.001951
2023-03-04,USD,1.281467
2023-03-04,EUR,1.171045
2023-03-04,SGD,1.703694
2023-03-04,AED,4.667997
2023-03-04,CAD,1.741171
2023-03-05,GBP,0.990262
2023-03-05,USD,1.26783
2023-03-05,EUR,1.170333
2023-03-05,SGD,1.692667
2023-03-05,AED,4.647083
2023-03-05,CAD,1.731425
2023-03-06,GBP,0.988925
2023-03-06,USD,1.269601
2023-03-06,EUR,1.171084
2023-03-06,SGD,1.707927
2023-03-06,AED,4.706303
2023-03-06,CAD,1.727285
2023-03-07,GBP,0.99133
2023-03-07,USD,1.269066
2023-03-07,EUR,1.171794
2023-03-07,SGD,1.706344
2023-03-07,AED,4.670247
2023-03-07,CAD,1.736359
2023-03-08,GBP,1.004943
2023-03-08,USD,1.263301
2023-03-08,EUR,1.177192
2023-03-08,SGD,1.71388
2023-03-08,AED,4.65946
2023-03-08,CAD,1.723586
2023-03-09,GBP,1.002531
2023-03-09,USD,1.267477
2023-03-09,EUR,1.178476
2023-03-09,SGD,1.702236
2023-03-09,AED,4.642497
2023-03-09,CAD,1.731993
2023-03-10,GBP,1.001878
2023-03-10,USD,1.268821
2023-03-10,EUR,1.166962
2023-03-10,SGD,1.702027
2023-03-10,AED,4.632255
2023-03-10,CAD,1.729858
2023-03-11,GBP,1.003769
2023-03-11,USD,1.271661
2023-03-11,EUR,1.176913
2023-03-11,SGD,1.707089
2023-03-11,AED,4.657244
2023-03-11,CAD,1.720992
2023-03-12,GBP,0.998614
2023-03-12,USD,1.276202
2023-03-12,EUR,1.164034
2023-03-12,SGD,1.694184
2023-03-12,AED,4.635177
2023-03-12,CAD,1.73037
2023-03-13,GBP,0.996978
2023-03-13,USD,1.261688
2023-03-13,EUR,1.173983
2023-03-13,SGD,1.698474
2023-03-13,AED,4.665935
2023-03-13,CAD,1.730764
2023-03-14,GBP,0.999813
2023-03-14,USD,1.272332
2023-03-14,EUR,1.173376
2023-03-14,SGD,1.703612
2023-03-14,AED,4.633092
2023-03-14,CAD,1.720593
2023-03-15,GBP,0.998202
2023-03-15,USD,1.271844
2023-03-15,EUR,1.168786
2023-03-15,SGD,1.682602
2023-03-15,AED,4.658189
2023-03-15,CAD,1.735832
2023-03-16,GBP,1.001029
2023-03-16,USD,1.264278
2023-03-16,EUR,1.168137
2023-03-16,SGD,1.711124
2023-03-16,AED,4.658952
2023-03-16,CAD,1.726171
2023-03-17,GBP,0.992238
2023-03-17,USD,1.269799
2023-03-17,EUR,1.16506
2023-03-17,SGD,1.701056
2023-03-17,AED,4.67433
2023-03-17,CAD,1.726465
2023-03-18,GBP,0.999245
2023-03-18,USD,1.272211
2023-03-18,EUR,1.174814
2023-03-18,SGD,1.716841
2023-03-18,AED,4.662345
2023-03-18,CAD,1.731077
2023-03-19,GBP,0.995549
2023-03-19,USD,1.27091
2023-03-19,EUR,1.172014
2023-03-19,SGD,1.705975
2023-03-19,AED,4.691105
2023-03-19,CAD,1.736066
2023-03-20,GBP,1.004051
2023-03-20,USD,1.263201
2023-03-20,EUR,1.177598
2023-03-20,SGD,1.697861
2023-03-20,AED,4.642476
2023-03-20,CAD,1.730479
2023-03-21,GBP,1.007145
2023-03-21,USD,1.277448
2023-03-21,EUR,1.153734
2023-03-21,SGD,1.689371
2023-03-21,AED,4.674533
2023-03-21,CAD,1.720924
2023-03-22,GBP,1.001398
2023-03-22,USD,1.273103
2023-03-22,EUR,1.174143
2023-03-22,SGD,1.704031
2023-03-22,AED,4.657783
2023-03-22,CAD,1.72054
2023-03-23,GBP,0.998558
2023-03-23,USD,1.250859
2023-03-23,EUR,1.169689
2023-03-23,SGD,1.709803
2023-03-23,AED,4.657467
2023-03-23,CAD,1.731076
2023-03-24,GBP,0.99527
2023-03-24,USD,1.277987
2023-03-24,EUR,1.177835
2023-03-24,SGD,1.690746
2023-03-24,AED,4.691277
2023-03-24,CAD,1.715405
2023-03-25,GBP,0.997984
2023-03-25,USD,1.268242
2023-03-25,EUR,1.166293
2023-03-25,SGD,1.687381
2023-03-25,AED,4.724075
2023-03-25,CAD,1.733116
2023-03-26,GBP,1.004544
2023-03-26,USD,1.262682
2023-03-26,EUR,1.174322
2023-03-26,SGD,1.707752
2023-03-26,AED,4.661355
2023-03-26,CAD,1.74421
2023-03-27,GBP,1.004653
2023-03-27,USD,1.268999
2023-03-27,EUR,1.169864
2023-03-27,SGD,1.694424
2023-03-27,AED,4.691918
2023-03-27,CAD,1.726542
2023-03-28,GBP,1.009999
2023-03-28,USD,1.2672
2023-03-28,EUR,1.164579
2023-03-28,SGD,1.683582
2023-03-28,AED,4.604222
2023-03-28,CAD,1.736833
2023-03-29,GBP,0.99613
2023-03-29,USD,1.269161
2023-03-29,EUR,1.164723
2023-03-29,SGD,1.683951
2023-03-29,AED,4.641242
2023-03-29,CAD,1.735686
2023-03-30,GBP,1.004299
2023-03-30,USD,1.269792
2023-03-30,EUR,1.176854
2023-03-30,SGD,1.70263
2023-03-30,AED,4.642258
2023-03-30,CAD,1.739921
2023-03-31,GBP,0.994965
2023-03-31,USD,1.272841
2023-03-31,EUR,1.180165
2023-03-31,SGD,1.697004
2023-03-31,AED,4.64529
2023-03-31,CAD,1.752188
2023-04-01,GBP,0.992395
2023-04-01,USD,1.270065
2023-04-01,EUR,1.166737
2023-04-01,SGD,1.701019
2023-04-01,AED,4.691869
2023-04-01,CAD,1.727486
2023-04-02,GBP,0.997819
2023-04-02,USD,1.265362
2023-04-02,EUR,1.167502
2023-04-02,SGD,1.714807
2023-04-02,AED,4.666706
2023-04-02,CAD,1.730245
2023-04-03,GBP,0.998619
2023-04-03,USD,1.278333
2023-04-03,EUR,1.174722
2023-04-03,SGD,1.702382
2023-04-03,AED,4.628992
2023-04-03,CAD,1.735388
2023-04-04,GBP,1.003805
2023-04-04,USD,1.270019
2023-04-04,EUR,1.167188
2023-04-04,SGD,1.705607
2023-04-04,AED,4.681809
2023-04-04,CAD,1.720088
2023-04-05,GBP,1.000344
2023-04-05,USD,1.26634
2023-04-05,EUR,1.173986
2023-04-05,SGD,1.703474
2023-04-05,AED,4.675417
2023-04-05,CAD,1.729853
2023-04-06,GBP,0.998236
2023-04-06,USD,1.268671
2023-04-06,EUR,1.171288
2023-04-06,SGD,1.70944
2023-04-06,AED,4.633981
2023-04-06,CAD,1.742513
2023-04-07,GBP,0.996585
2023-04-07,USD,1.264952
2023-04-07,EUR,1.172602
2023-04-07,SGD,1.699202
2023-04-07,AED,4.658603
2023-04-07,CAD,1.737317
2023-04-08,GBP,0.997601
2023-04-08,USD,1.277592
2023-04-08,EUR,1.167771
2023-04-08,SGD,1.693235
2023-04-08,AED,4.628842
2023-04-08,CAD,1.723813
2023-04-09,GBP,1.000842
2023-04-09,USD,1.273258
2023-04-09,EUR,1.165334
2023-04-09,SGD,1.697593
2023-04-09,AED,4.685879
2023-04-09,CAD,1.735731
2023-04-10,GBP,0.995652
2023-04-10,USD,1.264242
2023-04-10,EUR,1.161498
2023-04-10,SGD,1.712204
2023-04-10,AED,4.648259
2023-04-10,CAD,1.731825
2023-04-11,GBP,0.995951
2023-04-11,USD,1.271965
2023-04-11,EUR,1.178476
2023-04-11,SGD,1.69466
2023-04-11,AED,4.635869
2023-04-11,CAD,1.731804
2023-04-12,GBP,0.995489
2023-04-12,USD,1.273126
2023-04-12,EUR,1.177372
2023-04-12,SGD,1.701881
2023-04-12,AED,4.683492
2023-04-12,CAD,1.727614
2023-04-13,GBP,1.000254
2023-04-13,USD,1.26123
2023-04-13,EUR,1.16859
2023-04-13,SGD,1.705997
2023-04-13,AED,4.647878
2023-04-13,CAD,1.729654
2023-04-14,GBP,0.993781
2023-04-14,USD,1.267798
2023-04-14,EUR,1.16736
2023-04-14,SGD,1.713737
2023-04-14,AED,4.641517
2023-04-14,CAD,1.735486
2023-04-15,GBP,1.00907
2023-04-15,USD,1.270431
2023-04-15,EUR,1.174591
2023-04-15,SGD,1.693322
2023-04-15,AED,4.667364
2023-04-15,CAD,1.730972
2023-04-16,GBP,1.003486
2023-04-16,USD,1.261935
2023-04-16,EUR,1.168674
2023-04-16,SGD,1.703331
2023-04-16,AED,4.653265
2023-04-16,CAD,1.739593
2023-04-17,GBP,0.999134
2023-04-17,USD,1.271963
2023-04-17,EUR,1.169476
2023-04-17,SGD,1.687289
2023-04-17,AED,4.659486
2023-04-17,CAD,1.727151
2023-04-18,GBP,1.000777
2023-04-18,USD,1.273403
2023-04-18,EUR,1.169589
2023-04-18,SGD,1.690078
2023-04-18,AED,4.665786
2023-04-18,CAD,1.742802
2023-04-19,GBP,1.002535
2023-04-19,USD,1.265699
2023-04-19,EUR,1.16343
2023-04-19,SGD,1.72372
2023-04-19,AED,4.686819
2023-04-19,CAD,1.730404
2023-04-20,GBP,0.999059
2023-04-20,USD,1.267102
2023-04-20,EUR,1.17796
2023-04-20,SGD,1.700003
2023-04-20,AED,4.66762
2023-04-20,CAD,1.732691
2023-04-21,GBP,1.001605
2023-04-21,USD,1.276901
2023-04-21,EUR,1.173147
2023-04-21,SGD,1.692009
2023-04-21,AED,4.671157
2023-04-21,CAD,1.73151
2023-04-22,GBP,0.988243
2023-04-22,USD,1.280208
2023-04-22,EUR,1.1748
2023-04-22,SGD,1.685244
2023-04-22,AED,4.618583
2023-04-22,CAD,1.725352
2023-04-23,GBP,0.995858
2023-04-23,USD,1.258577
2023-04-23,EUR,1.165386
2023-04-23,SGD,1.693927
2023-04-23,AED,4.650234
2023-04-23,CAD,1.725825
2023-04-24,GBP,1.003056
2023-04-24,USD,1.261554
2023-04-24,EUR,1.174596
2023-04-24,SGD,1.712288
2023-04-24,AED,4.634636
2023-04-24,CAD,1.727156
2023-04-25,GBP,0.998153
2023-04-25,USD,1.279127
2023-04-25,EUR,1.176594
2023-04-25,SGD,1.697482
2023-04-25,AED,4.648525
2023-04-25,CAD,1.722509
2023-04-26,GBP,0.99923
2023-04-26,USD,1.267136
2023-04-26,EUR,1.164667
2023-04-26,SGD,1.704459
2023-04-26,AED,4.685356
2023-04-26,CAD,1.731672
2023-04-27,GBP,0.999315
2023-04-27,USD,1.269629
2023-04-27,EUR,1.167259
2023-04-27,SGD,1.711569
2023-04-27,AED,4.685383
2023-04-27,CAD,1.72252
2023-04-28,GBP,1.01051
2023-04-28,USD,1.273664
2023-04-28,EUR,1.176393
2023-04-28,SGD,1.697788
2023-04-28,AED,4.65684
2023-04-28,CAD,1.723134
2023-04-29,GBP,1.004674
2023-04-29,USD,1.269316
2023-04-29,EUR,1.17427
2023-04-29,SGD,1.692088
2023-04-29,AED,4.638781
2023-04-29,CAD,1.741011
2023-04-30,GBP,0.998608
2023-04-30,USD,1.27145
2023-04-30,EUR,1.166964
2023-04-30,SGD,1.693427
2023-04-30,AED,4.655922
2023-04-30,CAD,1.722272
2023-05-01,GBP,0.998092
2023-05-01,USD,1.259104
2023-05-01,EUR,1.168243
2023-05-01,SGD,1.714187
2023-05-01,AED,4.652387
2023-05-01,CAD,1.738182
2023-05-02,GBP,1.006222
2023-05-02,USD,1.265405
2023-05-02,EUR,1.165282
2023-05-02,SGD,1.706725
2023-05-02,AED,4.643478
2023-05-02,CAD,1.720472
2023-05-03,GBP,1.007758
2023-05-03,USD,1.265167
2023-05-03,EUR,1.166959
2023-05-03,SGD,1.699288
2023-05-03,AED,4.633939
2023-05-03,CAD,1.749264
2023-05-04,GBP,0.995993
2023-05-04,USD,1.277183
2023-05-04,EUR,1.168541
2023-05-04,SGD,1.701465
2023-05-04,AED,4.668206
2023-05-04,CAD,1.725918
2023-05-05,GBP,1.001947
2023-05-05,USD,1.271716
2023-05-05,EUR,1.176095
2023-05-05,SGD,1.696117
2023-05-05,AED,4.664091
2023-05-05,CAD,1.70564
2023-05-06,GBP,1.002921
2023-05-06,USD,1.260376
2023-05-06,EUR,1.171054
2023-05-06,SGD,1.718168
2023-05-06,AED,4.682615
2023-05-06,CAD,1.746224
2023-05-07,GBP,1.000191
2023-05-07,USD,1.263376
2023-05-07,EUR,1.177399
2023-05-07,SGD,1.704602
2023-05-07,AED,4.693953
2023-05-07,CAD,1.741039
2023-05-08,GBP,1.007614
2023-05-08,USD,1.274766
2023-05-08,EUR,1.161207
2023-05-08,SGD,1.689891
2023-05-08,AED,4.678188
2023-05-08,CAD,1.726482
2023-05-09,GBP,0.998458
2023-05-09,USD,1.264134
2023-05-09,EUR,1.177621
2023-05-09,SGD,1.699224
2023-05-09,AED,4.665521
2023-05-09,CAD,1.736273
2023-05-10,GBP,0.996207
2023-05-10,USD,1.271995
2023-05-10,EUR,1.17105
2023-05-10,SGD,1.704819
2023-05-10,AED,4.676545
2023-05-10,CAD,1.715517
2023-05-11,GBP,1.002343
2023-05-11,USD,1.277843
2023-05-11,EUR,1.164013
2023-05-11,SGD,1.690838
2023-05-11,AED,4.672221
2023-05-11,CAD,1.745098
2023-05-12,GBP,1.003698
2023-05-12,USD,1.266275
2023-05-12,EUR,1.163837
2023-05-12,SGD,1.70584
2023-05-12,AED,4.673418
2023-05-12,CAD,1.73242
2023-05-13,GBP,0.99862
2023-05-13,USD,1.256143
2023-05-13,EUR,1.165708
2023-05-13,SGD,1.692243
2023-05-13,AED,4.67499
2023-05-13,CAD,1.72023
2023-05-14,GBP,0.995405
2023-05-14,USD,1.270972
2023-05-14,EUR,1.164497
2023-05-14,SGD,1.692634
2023-05-14,AED,4.665627
2023-05-14,CAD,1.732457
2023-05-15,GBP,0.995638
2023-05-15,USD,1.272713
2023-05-15,EUR,1.17213
2023-05-15,SGD,1.701477
2023-05-15,AED,4.663963
2023-05-15,CAD,1.72287
2023-05-16,GBP,1.002671
2023-05-16,USD,1.273103
2023-05-16,EUR,1.165786
2023-05-16,SGD,1.695463
2023-05-16,AED,4.668998
2023-05-16,CAD,1.750283
2023-05-17,GBP,1.00336
2023-05-17,USD,1.267733
2023-05-17,EUR,1.169365
2023-05-17,SGD,1.696948
2023-05-17,AED,4.702281
2023-05-17,CAD,1.713592
2023-05-18,GBP,1.005835
2023-05-18,USD,1.273763
2023-05-18,EUR,1.178187
2023-05-18,SGD,1.684299
2023-05-18,AED,4.636479
2023-05-18,CAD,1.729997
2023-05-19,GBP,1.007248
2023-05-19,USD,1.273422
2023-05-19,EUR,1.175063
2023-05-19,SGD,1.706155
2023-05-19,AED,4.675807
2023-05-19,CAD,1.726647
2023-05-20,GBP,1.004461
2023-05-20,USD,1.27108
2023-05-20,EUR,1.169639
2023-05-20,SGD,1.707654
2023-05-20,AED,4.66118
2023-05-20,CAD,1.725283
2023-05-21,GBP,0.992218
2023-05-21,USD,1.266988
2023-05-21,EUR,1.177671
2023-05-21,SGD,1.694248
2023-05-21,AED,4.672323
2023-05-21,CAD,1.725609
2023-05-22,GBP,1.010905
2023-05-22,USD,1.276829
2023-05-22,EUR,1.177518
2023-05-22,SGD,1.692508
2023-05-22,AED,4.660611
2023-05-22,CAD,1.72769
2023-05-23,GBP,1.012148
2023-05-23,USD,1.268155
2023-05-23,EUR,1.163429
2023-05-23,SGD,1.693232
2023-05-23,AED,4.685801
2023-05-23,CAD,1.735312
2023-05-24,GBP,1.00375
2023-05-24,USD,1.268339
2023-05-24,EUR,1.171521
2023-05-24,SGD,1.700593
2023-05-24,AED,4.626261
2023-05-24,CAD,1.729401
2023-05-25,GBP,0.996136
2023-05-25,USD,1.272253
2023-05-25,EUR,1.179158
2023-05-25,SGD,1.681646
2023-05-25,AED,4.667792
2023-05-25,CAD,1.730392
2023-05-26,GBP,1.00135
2023-05-26,USD,1.25853
2023-05-26,EUR,1.15866
2023-05-26,SGD,1.696405
2023-05-26,AED,4.644187
2023-05-26,CAD,1.717119
2023-05-27,GBP,0.998452
2023-05-27,USD,1.269327
2023-05-27,EUR,1.170887
2023-05-27,SGD,1.686957
2023-05-27,AED,4.637775
2023-05-27,CAD,1.7339
2023-05-28,GBP,1.003479
2023-05-28,USD,1.275191
2023-05-28,EUR,1.183288
2023-05-28,SGD,1.685437
2023-05-28,AED,4.649697
2023-05-28,CAD,1.734193
2023-05-29,GBP,0.998408
2023-05-29,USD,1.270852
2023-05-29,EUR,1.170878
